character,film,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
BEN,EpisodeV,0.190284251,0.142509069,-0.045339496,-0.307521864,0.501036286,-0.153714603,-0.131766683,0.214669856,-0.340011826,0.065248839,0.039706219,0.422680456,-0.305987325,-0.084444815,0.470409216,0.367308924,0.134654466,-0.03464821,0.009558552,-0.416825944,-0.278045913,0.414778071,0.137318549,0.066024991,0.498393395,-1.378746642,-0.44042895,-0.251453128,0.385400204,-0.377343245,2.366271147,0.580764015,-0.459231432,-0.312252409,0.081413278,0.033046257,-0.033511279,-0.006977063,-0.010714346,-0.300516551,-0.157222839,0.081791639,-0.003417705,0.223682745,0.195955138,0.121730409,0.148807245,-0.128563195,-0.291746235,0.178368655
CAPTAIN,EpisodeV,-0.082577504,0.222082511,-0.197392493,-0.171352506,0.562855005,-0.222012505,-0.901959956,0.137713253,0.192165762,0.139802486,-0.179527506,0.167015001,-0.416897506,0.26587373,0.653232574,-0.125066996,0.277464986,-0.275160015,-1.018544078,-0.327065021,-0.056678504,0.258487254,0.317990333,-0.040924251,0.583000958,-1.52837491,-0.174065009,-0.097566761,0.428387493,-0.240235239,3.269549847,0.548427463,-0.271371007,0.286611736,0.32238999,-0.046812251,0.23358199,0.458399773,-0.013521493,-0.26152572,-0.373359978,0.212604553,-0.22301726,0.134612501,-0.009248994,0.198377997,0.115612745,-0.158535004,0.213715255,0.180220753
CONTROLLER,EpisodeV,0.412142724,0.209181651,0.092297132,-0.111276833,-0.00919468,-0.259094884,-0.551394413,0.136599048,-0.051697945,-0.706174622,0.061837435,0.192838818,-0.098714918,-0.114074349,-0.417893971,0.023379244,0.173518921,0.161950829,-0.683975637,-0.254995925,0.188477154,-0.171122837,-0.142457756,-0.118321791,-0.008684161,-1.013546844,-0.033981836,-0.177333946,0.145534818,0.238665556,2.265860677,0.035587551,-0.086707811,0.052725918,0.373143077,-0.093221183,-0.228000661,-0.184328542,-0.430644085,0.045075021,-0.191095521,-0.166740385,0.344995086,-0.302717566,0.070649346,-0.113575002,-0.187544255,-0.300937617,-0.110715068,-0.165114631
CREATURE,EpisodeV,0.290714634,0.09406424,0.225973222,-0.158697991,0.31375401,-0.220026305,-0.148648153,0.268364649,0.022037742,0.11295494,-0.019108655,0.290564707,-0.028185334,0.098980037,0.334816413,0.347696924,0.367354648,0.336446688,-0.079755311,-0.201279497,-0.08045093,0.279079646,0.238936141,-0.060924313,0.369493013,-1.155517365,-0.584640463,0.03957591,0.584361636,-0.295330001,1.898802215,0.173562143,-0.403742444,0.117263642,0.097822547,0.060310898,-0.023374892,-0.107849303,0.414099668,-0.184503637,-0.28449231,-0.052401888,0.179281143,0.03106016,0.279545983,0.050687248,-0.090726474,-0.166986892,0.029062687,0.072377791
DACK,EpisodeV,0.226203503,-0.070113726,-0.055812553,-0.261285068,0.568583419,0.134073061,-0.197028216,0.090615498,-0.249691905,-0.244877772,0.092482068,0.372619189,-0.50581678,0.015715337,0.03642251,0.247137444,0.226254925,-0.178913599,-0.361984482,-0.37196859,-0.264819641,0.158183358,-0.176817421,0.004381917,0.363112472,-1.224799618,-0.18545283,-0.05912319,0.401786201,-0.06129374,2.561948657,0.13062438,-0.122975157,-0.20239526,-0.04255116,0.013200728,0.183862574,0.026909065,0.125653005,-0.143797558,0.136095676,0.141232837,-0.19414473,0.202407343,-0.192827654,0.272341494,0.094044425,-0.258079387,-0.09848898,0.227517538
DERLIN,EpisodeV,0.224464968,0.099082644,0.253885801,-0.12484703,0.445096428,-0.404622088,-0.299569145,0.254085613,-0.319031566,-0.229654675,-0.149054166,-0.085068772,-0.337105816,0.358574549,0.352562075,0.65956227,-0.040495743,-0.02561379,-0.062894082,-0.595472028,0.40155753,0.395181313,0.047307507,0.235247036,0.19757641,-1.096124252,-0.026140382,0.413847019,0.411775321,-0.483679454,2.507990281,0.400924041,-0.226046556,-0.178159595,-0.086838651,-0.084029824,0.476019522,-0.025023917,-0.062281517,-0.210310735,-0.068610592,-0.210862805,0.086073627,0.282744735,-0.16226762,0.221412733,-0.20541813,-0.374629031,0.035667207,-0.069110425
EMPEROR,EpisodeV,0.375963608,-0.013032316,0.179085226,-0.188143961,0.483632578,-0.182705225,-0.046800425,0.068972953,-0.131511083,-0.108300279,0.00523676,0.436410871,-0.192262527,-0.05216615,-0.104702702,0.257890838,0.374851614,0.040272474,-0.445721158,0.024348144,-0.263804415,0.217733274,-0.133167553,-0.243958208,0.251307622,-1.352667189,-0.380610323,-0.362998274,0.540280986,-0.0264072,2.351939154,0.112379092,-0.318217339,-0.301463515,0.059009817,0.070966625,-0.139824706,-0.469326626,-0.206330606,-0.32609278,-0.107327101,0.067031625,0.170922505,-0.195713001,0.064840523,0.20220576,0.040395159,-0.158505934,-0.36049169,0.316700229
HAN,EpisodeV,0.137655973,0.046624863,0.118873058,-0.238531134,0.327402651,-0.164603031,-0.303148873,0.253619658,-0.19429377,0.120173879,-0.135220088,0.274082829,-0.282998789,0.097901782,0.394219901,0.270570698,0.266262014,0.011990941,-0.058519909,-0.430614608,-0.197684318,0.256113841,0.190337831,0.103398873,0.490466873,-1.256329847,-0.436429708,0.158302319,0.553449102,-0.494542972,2.261700179,0.403191506,-0.253403139,-0.019527773,-0.070597187,-0.032066115,0.062790232,0.004601013,0.155955843,-0.254411991,-0.165689029,0.034984498,-0.051230776,0.211268291,0.108964905,0.045143064,0.009473478,-0.109402759,-0.018352627,0.229585275
HOBBIE,EpisodeV,0.619560003,0.08146251,0.494643718,0.117530003,0.407777518,-0.042008005,-0.549104989,0.218680501,-0.190469995,-0.347372472,0.303900003,0.164389983,-0.575128019,0.668579996,-0.331355035,-0.584962487,-0.200046003,0.398560017,-1.387112498,0.098573245,-0.512417257,0.316232502,0.331749976,-0.047520757,-0.393874943,-1.25184989,0.043114997,-0.391290009,0.102337509,-0.263706863,2.35066247,0.281889975,-0.122000754,0.235054001,0.758012474,0.453767508,0.079405494,-0.340662479,-0.893655062,-0.146532506,0.030506512,0.087530524,0.322202504,-0.49584499,0.25353086,-0.154596493,-0.229211211,-0.361098766,-0.552542448,-0.189797521
JANSON,EpisodeV,0.418154996,0.138712706,0.490450677,0.098522495,0.336924158,0.018471584,-0.578863144,0.081618587,-0.128020334,-0.264056322,-0.109227754,-0.059667498,-0.279734574,0.413643584,0.279718764,0.254103184,-0.082010794,0.167660406,-0.443946878,-0.466521632,0.289226003,0.196440794,0.184611458,0.418402962,0.197934749,-1.270410821,-0.342419166,0.175866338,0.579423344,-0.347056672,3.043145776,0.389352011,0.074732631,-0.023721748,-0.10124661,0.048761997,0.04456904,0.035631835,-0.096999458,-0.16033951,0.026761666,0.128811959,0.005004421,0.314583324,-0.430302331,0.07827696,-0.065287087,-0.385199245,-0.171481954,0.109705569
